Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured,Insured Cost,URL,Description,Source(s),
Hail - Orange,New South Wales,Dubbo,Storm,1/21/86,1/21/86,N/A,N/A,"$25,000,000.00",https://knowledge.aidr.org.au/resources/storm-orange-new-south-wales/,"On 21 January 1986, a severe hailstorm caused extensive damage to homes, farms and crops in the Orange area of the Central Tablelands. Hail of up to 7 cm in diameter was reported and over 100 motor vehicles were damaged. The Insurance Council of Australia estimated the 1986 damage at $25 million, with the 2011 estimated normalised cost of $160 million.","Bureau of Meteorology, Summary of significant severe thunderstorm events in NSW – 1980/1989, website viewed 19 July 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 24 May 2012
Parliament of New South Wales, Hansard & Papers Legislative Assembly, 19 February 1986, p 69, website viewed 19 July 2011",
Hail - Brighton ,Queensland,Brisbane,Storm,12/16/80,12/16/80,N/A,N/A,"$15,000,000.00",https://knowledge.aidr.org.au/resources/storm-brighton-queensland/,"In 1980, a severe storm caused hail damage in northern Brisbane, Bracken Ridge, and extensive damage to 5,000 homes in Brighton.

The Insurance Council of Australia estimated the 1980 damage at $15 million, with the 2011 estimated normalised cost of $238 million. ","Bureau of Meteorology, Queensland Flood Summary 1980 - 1989, 2011, website viewed 19 May 2011.
Callaghan J, ‘Case Study: Brighton Hailstorm and Archerfield Tornado, December 1980,’ Green Cross Australia, viewed online 14 October 2014.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 23 May 2012.
Queensland Government 2009, Queensland past and present 100 years of statistics 1896 – 1996, website viewed 2 June 2011.",
Hail - Port Broughton,South Australia,Whyalla,Storm,11/14/79,11/14/79,N/A,71,"$10,000,000.00",https://knowledge.aidr.org.au/resources/storm-port-broughton-south-australia/,"On 14 November 1979 Port Broughton sustained damage from a line of ferocious storms that hit south-eastern South Australia. Very strong winds and hail ruined solid brick houses, holiday shacks and caravans. Cars were pushed sideways along the road and pine trees up to 30 m tall were uprooted.

There was no loss of life during the event which was considered amazing. Eleven people were injured requiring hospital admission and 60 others required hospital treatment.

While Port Broughton incurred the most damage, other areas were also affected. Destruction was felt from the mid north to northern Adelaide Plains. Clare experienced severe damage. Houses lost their roofs and sheds were demolished in the high winds. Likewise the northern suburbs of Adelaide saw houses unroofed and trees blown over in areas such Salisbury North, Parafield Gardens, and Munno Para.

Agriculture was severely impacted with crops damaged, glass houses broken, grape vines stripped, storage tanks squashed, orchards destroyed and many farmers' livelihoods, built up over many years, were lost within ten minutes.

According to the Bureau of Meteorology Regional Forecasting Centre, the thunderstorm triggered by the trough line that extended across Yorke Peninsula moved over Port Broughton and produced destructive winds. The winds at all levels through the atmosphere were very strong. A thunderstorm is classified as severe if it produces wind gusts of 90 km per hour of more. On this day gusts were much higher with reports of 135 km per hour to 160 km per hour. Isolated large hail coming from very cold air high above the earth's surface was rapidly transported to the surface by downdrafts and accompanied the thunderstorms associated with the trough immediately to the east causing damage to some of Adelaide’s northern suburbs.

The Insurance Council of Australia estimated the 1979 damage at $10 million, with the 2011 normalised cost of $92 million.","Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 23 May 2012
Rogers T, South Australia’s extreme weather: its human impact. Kent Town, South Australia: Australian Meteorological Association Inc, 2009, pp 133 - 145",
Hail - Toowoomba,Queensland,Brisbane,Storm,1/9/76,1/9/76,N/A,N/A,"$12,000,000.00",https://knowledge.aidr.org.au/resources/storm-toowoomba-1976/,"A severe storm caused extreme weather conditions in the Toowoomba region on 9 January 1976. Gale force winds combined with large hail resulted in widespread damage to infrastructure, buildings and houses.

The Insurance Council of Australia estimated the 1976 damage at $12 million, with the 2011 estimated normalised cost of $282 million.","Geoscience Australia, Severe thunderstorm risks, Chapter 6, website viewed 23 May 2011
Insurance Council of Australia, Historical disaster statistics,  March 2012, website viewed 23 May 2012
Sally Leivesley, ‘Toowoomba: victims and helpers in an Australian hailstorm disaster,’ Disasters: International Journal of Disaster Studies and Practice, vol. 1, no. 3, 1977, pp. 205-216",
Hail - Sydney,New South Wales,Sydney,Storm,1/1/47,1/1/47,N/A,300,Not Available,https://knowledge.aidr.org.au/resources/storm-sydney-1947/,"On 1 January 1947 at 2.30 pm, a severe hailstorm spread over Sydney, with hail stones reportedly falling in some instances up to 1.8 kg. The hail caused widespread damage to the area.

The storm started in the St. George and Canterbury-Bankstown districts, tracking across Sydney from the south-western suburbs to the eastern suburbs. Many city buildings, such as the Art Gallery and Central Station, sustained extensive damage and more than 300 people were hospitalised.

Suburbs affected include Bankstown, Belmore, Enfield, Rockdale, Bexley North, Punchbowl Hurstville, Marrickville, Stanmore, Enmore, Newtown. Redfern, Mascot, Botany, Waterloo, Paddington, Bondi, Edgecliff, Double Bay, Rose Bay, Vaucluse, Darling Point, Cremorne, Beecroft and the central and southern part of the city.","Morning Bulletin, 'Freak storm flays Sydney with hail': £250,000 damage', 2 January 1947, p 1, viewed on Trove website (ID 56412810), 19 July 2011
Newman BW, Phenomenal hailstorm with thunderstorm Sydney 1st January 1947, 1947, website viewed 19 July 2011
The West Australian, 'Havoc in Sydney', 2 January 1947, p 6, viewed on Trove website (ID 3777456), 19 July 2011",
Severe Storm - Melbourne,Victoria,Melbourne,Storm,12/25/11,12/26/11,N/A,N/A,"$680,700,000.00",https://knowledge.aidr.org.au/resources/storm-severe-storm-melbourne-victoria-2011/,"A trough of low pressure developed over Victoria on 23 December, deepening further on 25 December, before progressing east on 26 December with a cold frontal push. On 25 December, thousands of homes were damaged when thunderstorms swept across Melbourne, bringing flash flooding and hail. The State Emergency Service received more than 4200 requests for assistance, most resulting from hail damage, wind damage and flash flooding through the western and northern suburbs of Melbourne. Severe thunderstorms first developed to the west of Melbourne, south-east of Ballan, at approximately 2.30 pm on Christmas Day. During the next seven hours up to five long-lived supercells (very severe long lasting thunderstorm cells) moved eastwards across the northern suburbs of Melbourne. The northern Melbourne suburbs of Eltham, Broadmeadows and Keilor were among the worst hit. There were reports of two tornadoes in Fiskville and Melton with some carsbeing upended. More than 50 volunteers arrived from interstate to help repair damaged homes. The State Government paid 220 emergency relief payments. An information centre was established in Keilor Downs to help residents who experienced storm damage. Representatives from the SES, Department of Human Services, Red Cross and the Salvation Army provided assistance to help residents who experienced storm damage. The Insurance Council of Australia declared the weather event as a catastrophe. It received up to 30,000 claims for damage to houses, businesses and motor vehicles. The Insurance Council of Australia estimated the preliminary 2011 damage at $728.6 million.","Insurance Council of Australia, Historical disaster statistics, April 2021, website viewed 24 May 2021
Sydney Morning Herald, 'Tornado hail as storms lash Melbourne', December 2011, website viewed 24 May 2011 
The ABC News, 'Melbourne mops up after wild storms', December 2011, website viewed 24 May 2011 
Victoria State Emergency Service, 'Annual Report 2011-2012', website viewed 24 May 2011",
"Severe Storm - Melbourne, Victoria",Victoria,Melbourne,Storm,2/4/11,2/6/11,N/A,1,"$418,670,000.00",https://knowledge.aidr.org.au/resources/storm-severe-storm-melbourne-victoria-february-2011/," On 4 February 2011, severe thunderstorms developed over Victoria. Tropical moisture associated with Tropical Cyclone Anthony and ex Tropical Cyclone Yasi interacted with a persistent low pressure trough extending from central Australia, through Mildura and Melbourne, to north-eastern Tasmania. Extremely high humidity and strong winds were associated with the storms which delivered record daily and multi-day rainfall totals to areas of north-east and south-east Victoria. The rain caused flash flooding in metropolitan Melbourne and prompted flood warnings for 24 rivers and creeks. On the afternoon and evening of 4 February, a damaging microburst caused damage west of Melbourne at Laverton. Wind speed strengthened from calm to 131 km per hour in six minutes causing damage to vegetation and structures within an area of approximately one square kilometre. More than 65 per cent of Victoria recorded daily rainfall totals in the 99th percentile for February in the 24 hours to 9 am on February 5. Approximately 7 per cent of the State observed the highest daily rainfall on record on the same day and 40 stations throughout Victoria recorded multi-day rainfall totals over 140 mm between 4 and 6 February. Nursing home residents were evacuated from Mentone, Narre Warren and Werribee, whilst the Koo Wee Rup and the Alfred hospital relocated patients. Emergency relief centres were opened in Mildura, Narre Warren, Cardinia, Pakenham and Swan Hill. State wide, more than 6000 calls were made to the Victorian State Emergency Service. The Insurance Council of Australia estimated the preliminary 2011 damage at $418.6 million.","The ABC, 'Victoria wakes to storm devastation', 5 February 2011, website viewed 15 June 2021
Bureau of Meteorology, 'Metropolitan Melbourne Area in February 2011: tropical air mass brings heavy rain and flash flooding', 2 March 2011, website viewed 15 June 2021 
The Age, 'Flash floods in Melbourne', 4 February 2011, website viewed 15 June 2021",
Severe Storm - Perth,Western Australia,Perth,Storm,3/22/10,3/22/10,N/A,N/A,"$1,053,000,000.00",https://knowledge.aidr.org.au/resources/storm-severe-storm-perth-western-australia-2010/,"Severe thunderstorms occurred on the afternoon and evening of Monday 22 March 2010 in the central west, lower west, and adjacent parts of the south-west great southern and central wheat belt districts of Western Australia. Severe storms moved through Perth between 3.30 pm and 6 pm with large hail at record levels, heavy rain and severe winds that resulted in considerable damage. The storm was responsible for record numbers of power outages more than 150,000 properties were without power at the peak, 300 hazard incidents and affected flight, train and bus services. The number of requests for assistance from FESA and SES totalled more than 3000, the most significant number since the May 1994 wind storms. Approximately 15 schools in the northern suburbs were closed the following day due to damage, while many hospitals were also damaged. Large hail occurred in a strip from the northern coastal suburbs to south Perth. For many suburbs, particularly from Osborne Park to Crawley, hail from 4-6 cm was large enough to badly damage cars, break car windscreens and windows of houses. Hail blocked gutters and drains worsening the impacts of flooding. Many properties were inundated with water including the University of Western Australia's library. A landslip at Kings Park caused the evacuation of several apartment towers as mud inundated lower levels threatening their stability. The Insurance Council of Australia estimated the 2010 damage at $1053 million with the 2011 estimated normalised cost at $1019 million.","Insurance Council of Australia, Historical disaster statistics, April 2021, website viewed 24 May 2021",
"Severe Storm - Melbourne, Victoria",Victoria,Melbourne,Storm,3/6/10,3/7/10,N/A,N/A,"$1,044,000,000.00",https://knowledge.aidr.org.au/resources/storm-severe-storm-melbourne-victoria-2010/,"On 6 March 2010, thunderstorms occurred in the west of Victoria, intensifying as they moved eastward towards the Shepparton region. The same day, severe thunderstorms also developed into the north-west of metropolitan Melbourne, bringing isolated severe wind gusts. Flash flooding was widespread across the city and hailstones measuring 2 - 10 cm caused damage to homes and major buildings including the Arts Centre, Etihad Stadium and Southern Cross Station. Shepparton experienced localised flooding, hail and wind damage prior to the storm moving south. Power outages occurred to 100,000 homes in Melbourne and 45,000 homes in the Shepparton region. The severe thunderstorms resulted in more than 7500 calls to the Victorian State Emergency Service, prompting crews from New South Wales, South Australia, Western Australia and Tasmania to help in the clean up. Financial assistance for affected communities was announced by the Federal Attorney-General on 12 March 2010. The Insurance Council of Australia estimated the 2010 damage at $1044 million, with the 2011 estimated normalised cost of $1160 million.","The ABC, 'Massive hailstones pound Melbourne', 6 March 2010, viewed 25 May 2021 
The ABC, 'SES almost finished storm clean-up', 12 March 2010, viewed 25 May 2021
Sydney Morning Herald, 'IAG drops earning forecast as Melbourne storm hits bottom line', 13 March 2010, viewed 25 May 2021 
The Age, 'Insurance costs soar, despite levy's scraping', 18 June 2013, viewed 25 May 2021 
The Age, 'Storm brings chaos to Melbourne', 7 March 2010, viewed 25 May 2021 
Department of Home Affairs, Disaster Assist, 'Victorian Storms: 6 to 7 March 2010', viewed 25 May 2021 
Bureau of Meteorology, Monthly Climate Summary for Victoria, 'Victoria in March 2010: Rainfall much more that usually received', 1 April 2010, viewed 25 May 2021 ",
Severe Storm - South East Queensland,Queensland,Brisbane,Storm,11/16/08,11/22/08,1,N/A,"$309,000,000.00",https://knowledge.aidr.org.au/resources/storm-severe-storm-south-east-queensland-2008/,"Between 16 and 22 November 2008 heavy rains and subsequent flooding affected the Brisbane region and surrounding areas. A surface trough developed through inland Queensland and combined with an upper level trough system to deliver severe thunderstorms and flood rainfall across parts of south-east Queensland. The system affected multiple towns including Ipswich, Lockyer Valley, Bundamba, Tallagalla, Forest Hill and Ebbw Vale. The heavy deluge produced significant rainfall over the catchment areas, which resulted in rapid river rises and consequent flooding. There was widespread damage to infrastructure including roads, railway lines and bridges as well as buildings and houses. Furthermore, many vehicles were damaged due to the rapid rise in rivers and creeks. A person died when their car was swept away by floodwaters at a crossing on Laidley Creek at Forest Hill near Gatton. The Insurance Council of Australia estimated the 2008 damage at $309 million, with the 2011 estimated normalised cost of $355 million.","Insurance Council of Australia, Historical disaster statistics, April 2021, website viewed 25 May 2021",
Severe Storm - Southern States Windstorms,"South Australia , Tasmania , Victoria","Adelaide , Mount Gambier (SA) , Murray Bridge (SA) , Hobart , Launceston , Melbourne",Storm,4/2/08,4/2/08,2,N/A,"$65,000,000.00",https://knowledge.aidr.org.au/resources/storm-southern-states-windstorm-2008/,"Victoria On 2 April 2008 very strong northerly winds developed across central and western Victoria. Maximum wind gusts in Victoria were recorded at Mt Gellibrand at 131 km per hour, Dunns Hill in the Dandenongs at 115 km per hour and Melbourne Airport 107 km per hour. Areas of raised dust were reported from the western half of the state, with visibility down to 200 m in some places. The heaviest rainfall totals were from Falls Creek (Rocky Valley Dam) with 50 mm and Wilsons Promontory with 26 mm. The storm sent vegetation and debris flying, caused major disruption to Melbourne traffic and public transport systems and extensive damage to the electricity distribution network. Lanes were closed on the Westgate bridge where wind gusts were close to 120 km per hour, many traffic lights were out and conditions on the roads were chaotic. Several boats were washed ashore at Mornington, where large waves were observed. There were reports that two people died as a result of this storm in Victoria. More than 9,500 requests for assistance were received by emergency service agencies across the State between 2-7 April 2008 as a result of this event. The Department of Human Services (DHS) coordinated Red Cross and local government to support the community with recovery, distributing 864 personal hardship grants totalling $240,115. South Australia An intense low on 2 April produced widespread wind gusts in excess of 90 km per hour across the Mount Lofty Ranges, Kangaroo Island and the South East districts of South Australia. Tasmania A deep low pressure system passed close to Tasmania bringing destructive winds from late 2nd April until early the next day with individual wind gusts well over 100 km per hour recorded at several locations. More than 40,000 premises lost power with at least 200 fallen power lines caused road closures. Many buildings lost their roofs. The pressure at Maatsuyker Island dipped to 966.2 hPa on 3 April the second lowest mean sea level pressure ever reported in Tasmania. Strong and gusty winds on 2 April caused a dust storm in the southern Midlands. The estimated damage bill was around two million dollars. The Insurance Council of Australia estimated the 2008 damage at $65 million across the three states, with the 2011 estimated normalised cost of $79 million.","Victoria State Emergency Service, 'Severe Weather in Victoria: Impacts and Response', May 2016, website viewed 22 June 2021 
ABC News, 'Tasmania storm damages top $1m', 3 April 2008, website viewed 22 June 2021
The Age, 'Two die as storm fury lashes state', 3 April 2008, website viewed 22 June 2021
Bureau of Meteorology, 'Tasmania in April 2008 - extreme wind, then settled, then cold', 1 May 2008, website viewed 22 June 2021
Bureau of Meteorology, 'Victoria in April 2008. Dry and Cool', 1 May 2008, website viewed 22 June 2021
Bureau of Meteorology, 'South Australia in April 2008. A fairly average month ', 1 May 2008, website viewed 22 June 2021",
Severe Storm - South East Queensland and Northern New South Wales,Queensland,"Brisbane , Bundaberg , Lismore (QLD) , Roma",Storm,10/7/07,10/12/07,N/A,N/A,"$97,000,000.00",https://knowledge.aidr.org.au/resources/storm-south-east-queensland-and-northern-new-south-wales-2007/,"In early October 2007, severe storms brought about heavy rain and caused widespread damage in south-east Queensland and northern New South Wales. There was damage to roads, bridges, houses and buildings. The State Emergency Services (SES) provided accommodation, household repairs and replacement assistance.

The Insurance Council of Australia estimated the 2007 damage at $97 million, with the 2011 estimated normalised cost of $109 million.","The ABC, 'Qld storm leaves thousands without power', 8 October 2007, viewed 25 May 2021 
Bureau of Meteorology, Monthly Climate Summary for Queensland, 'Queensland in October 2007', 1 November 2007, viewed 25 May 2021
Bureau of Meteorology, Monthly Climate Summary for New South Wales, 'New South Wales in October 2007', 1 November 2007, viewed 25 May 2021 ",
Severe Storm - New South Wales East Coast Low,New South Wales,Sydney,Storm,6/8/07,6/10/07,9,N/A,"$1,480,000,000.00",https://knowledge.aidr.org.au/resources/storm-new-south-wales-east-coast-2007/,"In June 2007, there were 5 East Coast Lows (ECL) off the coast of New South Wales. The first and most severe occurred over Friday 8 and Saturday 9 June. Heavy rain, strong winds and large ocean swells resulted in widespread damage to coastal regions of the Hunter, Central Coast and Sydney Metropolitan areas.  The Queen’s birthday weekend ECL developed in a pre-existing trough of low pressure over the northern Tasman Sea. This trough was directing a humid north-east to south-east air stream across north-east New South Wales and there was a weak low analysed just off the coast near Coffs Harbour on Thursday morning.  The low moved south along the NSW coast, before moving out into the Tasman Sea on 10 June 2007.

Thunderstorms caused record breaking flooding in Newcastle, with 164.6 mm of rain falling in 6 hours from 3 pm to 9 pm, causing many shops and businesses to flood and hundreds of cars to be stranded or swept away. This storm event is often associated with the grounding of the Pasha Bulker (a 40,000 tonne bulk carrier ship) which occurred on 8 June on Nobbys Beach in Newcastle and was not re-floated until 2 July.

Approximately 6000 people were evacuated from Maitland (near Newcastle) when it was considered a levee may have burst.

In the Hunter Valley it was reported as the worst flooding in 52 years.  Major flooding in the Hunter River occurred from 8 – 13 and in the Paterson and Williams River from the 8 – 10. Moderate flooding occurred in the Wyong, Colo and Nepean Rivers.

Ferry services were cancelled on Sydney Harbour due to the weather conditions. The Cremorne wharf collapsed and sank due to large ocean swells. Beaches were eroded at many Sydney locations, due to swells up to 14 metres high. High winds blew beach sand over 100 metres inland. More than 200,000 homes reportedly lost power in the Sydney - Newcastle area due to flooding and high winds. Many thousands of homes and businesses lost telephone services when telephone exchanges were flooded.

A natural disaster was declared in the Hunter Valley and the Central Coast areas with a total of 19 local government areas. There were a total of nine fatalities associated with the storm. Nearly 20,000 calls for assistance were made to the State Emergency Service.

The Insurance Council of Australia estimated the 2007 damage at $1480 million, with the 2012 estimated normalised cost of $1742 million.","Bureau of Meteorology, New South Wales in June 2007 east coast lows batter NSW coast, website viewed 23 June 2011

Bureau of Meteorology, Summary of significant severe thunderstorm events in NSW – 2006/07, website viewed 23 June 2011

Bureau of Meteorology, The Queen’s birthday east coast low 8 - 9 June 2007, website viewed 23 June 2011

Coastal Watch, Analysis of a storm, June 2007, website viewed 23 June 2011

Disaster Assist State and Territories Previous Disaster Events: Central Coast and Hunter Region Storms June 2007, website viewed 18 November 2014

Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012

Lake Macquarie City Council, June 2007 storm fact sheet, website viewed 23 June 2011

Lake Macquarie Libraries, ‘Storm Stories: June long weekend 2007 Oral History Recordings,’ various interviews, website viewed 18 November 2014

National Climate Change Adaptation Research Facility, Key findings: east coast lows and the Newcastle central coast Pasha Bulker storm, website viewed 23 June 2011

‘The June 2007 Long Weekend Storm and Flood Event in the City of Lake Macquarie, NSW – Risk Reduction Actions and Lessons Learnt Over Five Years,’ Jones G, Flood management Association National Conference 2013 conference paper, viewed online 18 November 2014

‘Mitigating the health impacts of a natural disaster – the June 2007 long-weekend storm in the Hunter region of New South Wales,’ Cretikos M et al, Medical Journal of Australia, vol 187 no 11 2007, pp. 670-673, viewed online 18 November 2014",
Severe Storm - Northern New South Wales,New South Wales,Lismore (NSW),Storm,6/30/05,6/30/05,1,N/A,"$25,000,000.00",https://knowledge.aidr.org.au/resources/storm-severe-storm-northern-new-south-wales-2005/,"On 30 June 2005, a surface trough deepened off the east coast of New South Wales resulting in strong north-easterly winds and flooding rain in the far north-east of the State. In Tweed Heads a record for June was set with 382 mm of rain recorded to 9:00 am. Several other rainfall stations recorded their highest ever daily rainfall for June including: Mullumbimby, Woodburn, Alstonville, Byron Bay and Murwillumbah. Record flooding was recorded at Marshalls Creek. The most serious impacts of the floods occurred at Lismore, where hundreds of people were evacuated. Overall, hundreds of homes and businesses were flooded and key infrastructure damaged. Thousands of residents on the Northern Coast were cut off by the flood waters for days and required food and medical drops by boat or helicopter. One person died in Byron Bay and two in South East Queensland. The Insurance Council of Australia estimated the 2005 damage at $25 million, with the 2011 estimated normalised cost of $37 million. This event coincides with a storm in South East Queensland on the same date. The Insurance Council of Australia list two entries, South - East Queensland $53.9 million and North - East New South Wales $25 million","Insurance Council of Australia, Historical disaster statistics, April 2021, website viewed 25 May 2021
The ABC, 'Flash flooding hits northern NSW', 29 June 2005, website viewed 25 May 2021",
Severe Storm - Bunbury and South Perth,Western Australia,"Bunbury , Perth",Storm,5/16/05,5/16/05,N/A,N/A,"$53,200,000.00",https://knowledge.aidr.org.au/resources/storm-bunbury-and-south-perth-2005/,"On 16 May 2005, a strong cold front caused widespread damage to Perth suburbs and parts of the south-west. Several tornadoes occurred on the edge of the front with the serious damage to buildings and houses in the Bicton and Bunbury areas.

The Fire and Emergency Services Authority (FESA) described it as the worst storm in ten years. The SES received over 800 calls for assistance. Five schools were damaged; at Bicton Primary School the music room was ripped from its foundation.

In Bunbury, the tornado caused substantial damage to buildings and residences. Heavy rain caused extensive flooding and traffic chaos with roads closed, including a main highway.  Some parts of the south-west recorded up to 80 millimetres of rain in 24 hours.

More than 100,000 customers were left without power and the city was littered with downed power poles and live wires. Power was cut along the storm's path in areas such as Bicton, Fremantle, Canningvale, Kwinana and Armadale. A study undertaken after the event reported that many of the Perth localities that were damages were in exposed areas that have a higher wind hazard than other areas in Perth.

The Fire and Emergency Services Authority of Western Australia undertook a review into the incident in 2005.

The Insurance Council of Australia estimated the 2005 damage at $53.2 million, with the 2011 normalised cost at $108 million.","ABC News, ‘SES urges patience as storm clean-up continues’, 17 May 2005, website viewed 14 March 2012.
ABC News, ‘Storm damage bill expected to reach millions’, 3 June 2005, website viewed 14 March 2012.
Annual Report 2005-2006, Fire & Emergency Services Authority of Western Australia, viewed online 25 November 2014.
Bureau of Meteorology, Severe storm summary July 2004 to June 2005, website viewed 14 March 2012.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 14 March 2012.
Jones T, Middelmann M and Corby N, ‘Natural hazard risk in Perth, Western Australia’, Geoscience Australia, 2005, p. 7, viewed online 25 November 2014",
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","New South Wales , Australian Capital Territory , Victoria , South Australia","Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Adelaide , Melbourne",Storm,2/1/05,2/3/05,N/A,N/A,"$216,700,000.00",https://knowledge.aidr.org.au/resources/storm-severe-storm-new-south-wales-victoria-australian-capital-territory-tasmania-and-south-australia-2005/,"At the beginning of February 2005 a low pressure system brought severe storms to eastern Australia. The weather system resulted in record rainfalls to south-east Australia and abnormally low temperatures through much of the eastern half of the country.

New South Wales:
On 2 February, many areas of New South Wales and suburban Sydney experienced hail and heavy rain. Some examples are: Kellyville, hail 5 cm, Blacktown, hail 4 cm, Kings Langley, hail 3 cm, Quakers Hill, hail 3 cm, Greystanes, heavy rain and hail 4 cm, Potts Hill, hail 2-3 cm, Castle Hill, hail 4-5 cm, Greenacre, hail 4-5 cm, St Ives, heavy rain and hail 2 cm, Wahroona, heavy rain and hail 3 cm, Gosford, hail 4 cm and Terrigal hail 4-5 cm. Flash flooding was seen in Bexley (metropolitan Sydney) and in North Ryde.

A thunderstorm and possible tornado caused severe local wind damage, bringing down trees and power lines, resulting in power outages to thousands of homes. The strongest wind gusts during the storm were felt at Bathurst with 93 km per hour, Scone 93 km per hour, Kurnell 94 km per hour and Newcastle 91 km per hour. The unseasonal cold weather brought snow to some areas of New South Wales where approximately 10-15 cm snow fell in the Snowy Mountains and temperatures reached as low as minus 5°C.

On the Brindabella Ranges near Canberra and on the Southern Tablelands, several centimetres of snow settled on the ground. Record low maximum and minimum temperatures occurred over this period, especially in the southern areas of the state.

Victoria:
Substantial rainfall was reported in many areas of Victoria with 24 hour rainfall totals exceeding 150 mm in many places. Rainfall in the Melbourne metropolitan area exceeded 100 mm with an all time 24 hour record for Melbourne set at 120.2 mm (the previous record was 108 mm). The highest wind gusts were recorded at Wilson's Promontory with gusts of up to 148 km per hour. In the Melbourne area wind gusts to 104 km per hour were recorded at Fawkner and Beacon. Extensive damage to buildings was reported and over 7000 requests for assistance were received by the SES and other emergency services over the following days.

Tasmania:
During this storm, Tasmania experienced widespread damage particularly from wind gusts. The strong south easterly winds caused damage from Devonport to Bridport, Scottsdale and Winnaleah in the north-east, Binalong Bay on the East Coast, and to Flinders Island in Bass Strait. Port Sorell (near Devonport) reported many homes to be badly damaged in part due to falling trees. Approximately 25 yachts in the Tamar River broke their moorings, with 14 reportedly destroyed, causing hundreds of thousands of dollars damage. The Bass Strait ferry Spirit of Tasmania l was forced to return to Melbourne after sustaining damage in seas estimated at 20 m. The Spirit of Tasmania II was delayed on its voyage from Devonport to Melbourne, while the Spirit of Tasmania III broke its moorings in Devonport and was also slightly damaged.

Fruit crops sustained up to 50 per cent loss; particularly apple and pear growers. Damage was also sustained to poppy and grain crops. Strong winds battered Tasmania during this storm, some examples are; Mount Wellington 104 km per hour, Mount Read 93 km per hour, Eddystone Point 117 km per hour, Flinders Island Airport 100 km per hour, Launceston Airport 94 km per hour and Cape Bruny on Bruny Island 91 km per hour. On 3 February substantial rainfall accompanied the storm and flooding occurred in several areas on the east coast, some suburbs of Hobart and in the south-east. The Browns River at Kingston broke its banks causing local flooding with several minor landslides also reported in the area.

South Australia:
Gale force winds of up to 67 km per hour occurred at several locations in South Australia during this storm event. These occurred in Marree and briefly at Hindmarsh Island.

The Insurance Council of Australia estimated the 2005 damage for the combined states at $216.7 million, with the estimated 2017 normalised cost of $402 million.","Insurance Council of Australia, Historical disaster statistics, April 2021, website viewed 25 May 2021
Bureau of Meteorology, 'Severe Weather Event 2-3 February 2005', website viewed 25 May 2021 
The Age, 'Melbourne has never seen anything like it', 4 February 2005, website viewed 25 May 2021 
The Age, 'Pounded by wild seas, Spirit forced to turn tail', 4 February 2005, website viewed 25 May 2021 
ABC News, 'Storms leave widespread damage in wake', 3 February 2005, website viewed 25 May 2021 
ABC News, 'Storms caused widespread blackouts in Tasmania', 3 February 2005, website viewed 25 May 2021",
"Severe Storm - South East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory","Queensland , New South Wales , Western Australia , Northern Territory","Brisbane , Lismore (NSW) , Broome , Katherine",Storm,3/3/04,3/31/04,3,N/A,Not Available,https://knowledge.aidr.org.au/resources/storm-severe-storm-south-east-queensland-northern-new-south-wales-northern-western-australia-northern-territory-2004/,"In March 2004, tropical cyclones Grace, Monty, Nicky, Fay, Oscar and Evan affected several regions of Australia. Wide spread flooding occurred in Queensland, Western Australia and the Northern Territory. Severe thunderstorms with high rainfall totals, flash flooding and hail were reported in most states over the course of the month. Damage to property, infrastructure and power supplies occurred. A tropical low developed on 2 March and moved south-west bringing strong to gale force winds, large seas and heavy rain to south-east Queensland and northern New South Wales. Rainfall totals in several east coast locations was more than 200 mm in 24 hours. There were three fatalities associated with this event: one person drowned in Queensland and two people drowned in New South Wales. In Western Australia, Cyclone Monty weakened as it neared the northern coast but brought with it widespread rainfall over the Pilbara causing significant flooding. In the Northern Territory, heavy rainfall associated with ex-tropical cyclone Evan affected the Arnhem, Darwin-Daly, Katherine and northern Victoria river districts, resulting in flooding in many catchments throughout the Top End. Residents were evacuated from flooded homes and businesses on the outskirts of Katherine on 4 March","Insurance Council of Australia, Historical disaster statistics, April 2021, website viewed 25 May 2021
Bureau of Meteorology, 'Tropical Cyclone Grace', website viewed 25 May 2021
Bureau of Meteorology, 'Tropical Cyclone Monty', website viewed 25 May 2021
Bureau of Meteorology, 'Tropical Cyclone Oscar', website viewed 25 May 2021
Bureau of Meteorology, 'Tropical Cyclone Evan', website viewed 25 May 2021
Bureau of Meteorology, 'Tropical Cyclone Fay', website viewed 25 May 2021
Bureau of Meteorology, 'Tropical Cyclone Nicky', website viewed 25 May 2021",
